Date;Prestation;Code Barre;Contrat;Compte Expediteur;Pays Expediteur;Destinataire;CP Destinataire;Ville Destinataire;Pays Destinataire;Reference;Nombre de colis;Poids;Prix;Supplement;Lot;Facture;Compte facturé;Libellé TVA;CB Initial;Reference 2;Reference 3
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CENTRALE                 ;38420;DOMENE                             ;FR                                 ;                    ;1;      4.020;       4.40;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE L'AVENUE              ;11130;SIGEAN                             ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE VOLTAIRE                 ;11100;NARBONNE                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;GRAND PHARMACIE DES PINS           ;34500;BEZIERS                            ;FR                                 ;                    ;1;      0.320;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;SELARL PHARMACIE POPULAIRE         ;34000;MONTPELLIER                        ;FR                                 ;                    ;1;      0.220;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE JANDEAUX                 ;87280;LIMOGES                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;GRANDE PHARMACIE DE SAINT MAURICE  ;94410;SAINT MAURICE                      ;FR                                 ;                    ;1;      0.260;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;GRANDE PHARMACIE DU CENTRE COMMERCI;69200;VENISSIEUX                         ;FR                                 ;                    ;1;      0.400;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA FONT NEUVE         ;34500;BEZIERS                            ;FR                                 ;                    ;1;      0.320;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA MONTAGNETTE        ;13150;TARASCON                           ;FR                                 ;                    ;1;      0.460;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU PETIT BOSQUET         ;13012;MARSEILLE                          ;FR                                 ;                    ;1;      0.420;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU GEANT LA VALENTINE    ;13924;MARSEILLE CEDEX 11                 ;FR                                 ;                    ;1;      0.540;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE L'HOTEL DE VILLE      ;93000;BOBIGNY                            ;FR                                 ;                    ;1;      0.380;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA SOURCE             ;78250;LIMAY                              ;FR                                 ;                    ;1;      0.460;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE HORCHOLLE                ;27390;MONTREUIL L ARGILLE                ;FR                                 ;                    ;1;      0.300;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE RENANCOURT            ;80000;AMIENS                             ;FR                                 ;                    ;1;      0.460;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CAMUT                    ;2450;BOUE                               ;FR                                 ;                    ;1;      0.840;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE LE RALL HELENE           ;22150;HENON                              ;FR                                 ;                    ;1;      0.740;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;LA GRANDE PHARMACIE DE PEROLS      ;34470;PEROLS                             ;FR                                 ;                    ;1;      0.680;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE VIA DOMITIA              ;11100;NARBONNE                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA FERME              ;38200;VIENNE EN FRANCE                   ;FR                                 ;                    ;1;      0.700;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA POUNCHE            ;13190;ALLAUCH                            ;FR                                 ;                    ;1;      0.960;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE RIVE DROITE              ;33100;BORDEAUX                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;GRANDE PHARMACIE DE MARSEILLE SELAS;13001;MARSEILLE                          ;FR                                 ;                    ;1;      0.920;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DES CHAMPINS             ;3000;MOULINS                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE ARCENS                   ;11100;NARBONNE                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE LEYSSALES SELARL         ;24220;SAINT CYPRIEN                      ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE BEAULIEU              ;17138;PUILBOREAU                         ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE MODERNE                  ;24210;THENON                             ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;GRANDE PHARMACIE DE BAYONNE        ;64100;BAYONNE                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE RIBERE DENISE            ;31170;TOURNEFEUILLE                      ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHIE FRANCERIES MARTY              ;31130;FLOURENS                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE AMBLARD                  ;3500;SAINT POURCAIN SUR SIOULE          ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHIE FACQ                          ;60160;MONTATAIRE                         ;FR                                 ;                    ;1;      0.400;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CALAUX                   ;18170;LE CHATELET                        ;FR                                 ;                    ;1;      0.520;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE ST HILAIRE               ;94210;LA VARENNE ST HILAIRE              ;FR                                 ;                    ;1;      1.280;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE SAINT ANNE               ;56000;VANNES                             ;FR                                 ;                    ;1;      0.180;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;OCP CLERMONT FERRAND               ;63100;CLERMONT FERRAND                   ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DES 4 NATIONS            ;88002;EPINAL                             ;FR                                 ;                    ;1;      0.300;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE L'EMBOUCHURE          ;31200;TOULOUSE                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA FONTAINE           ;31140;MONTBERON                          ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE ALPHONSE DAUDET          ;30600;VAUVERT                            ;FR                                 ;                    ;1;      0.400;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CENTRALE                 ;34590;MARSILLARGUES                      ;FR                                 ;                    ;1;      0.280;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE LA MARINE                ;13014;MARSEILLE                          ;FR                                 ;                    ;1;      2.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU PIED DES GOUTTES      ;25200;MONTBELIARD                        ;FR                                 ;                    ;1;      0.350;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU COURS                 ;34120;PEZENAS                            ;FR                                 ;                    ;1;      0.400;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE TEMPLE                ;82000;MONTAUBAN                          ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CENTRALE                 ;64800;NAY BOURDETTES                     ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA MAIRIE             ;33380;BIGANOS                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE TOURNESOLS               ;17120;COZES                              ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;MATERIEL MEDICAL LAFAYETTE DES     ;82000;MONTAUBAN                          ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE RICHELIEU                ;34300;CAP D'AGDE                         ;FR                                 ;                    ;1;      0.220;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE CAPESTANG             ;34310;CAPESTANG                          ;FR                                 ;                    ;1;      0.240;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE BARLIER SARRADIN         ;38780;PONT EVEQUE                        ;FR                                 ;                    ;1;      4.520;       4.40;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DES ALOUETTES            ;67300;SCHILTIGHEIM                       ;FR                                 ;                    ;1;      0.250;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE IDEE PHILIPPE            ;2110;BOHAIN EN VERMANDOIS               ;FR                                 ;                    ;1;      3.480;       4.10;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE ABISROR                  ;91480;QUINCY SOUS SENART                 ;FR                                 ;                    ;1;      0.220;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DAVAL                    ;75011;PARIS                              ;FR                                 ;                    ;1;      6.880;       5.00;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DES PROMENADES           ;2500;HIRSON                             ;FR                                 ;                    ;1;      2.520;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DES TERRASSES            ;95100;ARGENTEUIL                         ;FR                                 ;                    ;1;      0.220;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE SAINT GERY SELARL        ;33170;GRADIGNAN                          ;FR                                 ;                    ;1;      1.420;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU STADE SELARL          ;31820;PIBRAC                             ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU 115                   ;38100;GRENOBLE                           ;FR                                 ;                    ;1;      0.180;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE PENIN -MAILLARBAUX       ;90000;BELFORT                            ;FR                                 ;                    ;1;      0.300;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE RIVETOILE                ;67100;STRASBOURG                         ;FR                                 ;                    ;1;      0.250;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU PHOENIX               ;6000;NICE                               ;FR                                 ;                    ;1;      0.520;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU CENTRE                ;38290;LA VERPILLIERE                     ;FR                                 ;                    ;1;      0.240;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CENTRALE                 ;38780;PONT EVEQUE                        ;FR                                 ;                    ;1;      0.280;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE FAUBERT PERELLI          ;34480;MAGALAS                            ;FR                                 ;                    ;1;      0.220;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE PAYAN                    ;30700;UZES                               ;FR                                 ;                    ;1;      0.220;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;EURL PHARMADA +                    ;16290;HIERSAC                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE QUEVAUVILLERS         ;80710;QUEVAUVILLERS                      ;FR                                 ;                    ;1;      1.000;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE CHAUNY                ;2300;CHAUNY                             ;FR                                 ;                    ;1;      0.340;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU PONT LOUIS PHILIPPE   ;75004;PARIS                              ;FR                                 ;                    ;1;      0.280;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CHADOUTAUD               ;75002;PARIS                              ;FR                                 ;                    ;1;      0.440;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE SAINT SIMEON             ;60400;NOYON                              ;FR                                 ;                    ;1;      0.340;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE BAC 90                   ;94210;LA VARENNE SAINT HILAIRE           ;FR                                 ;                    ;1;      0.340;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE L'EUROPE              ;89100;SENS                               ;FR                                 ;                    ;1;      0.360;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE MILARKA                  ;6300;NICE                               ;FR                                 ;                    ;1;      1.760;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CAMPAGNE LEVEQUE         ;13015;MARSEILLE                          ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU CERF                  ;67115;PLOBSHEIM                          ;FR                                 ;                    ;1;      0.350;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE HERVE                    ;38100;GRENOBLE                           ;FR                                 ;                    ;1;      0.280;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CLOUARD                  ;27330;LA NEUVE LYRE                      ;FR                                 ;                    ;1;      0.440;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE POINT DU JOUR            ;61000;ALENCON                            ;FR                                 ;                    ;1;      1.000;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DES PORTES DE L'OISE     ;60230;CHAMBLY                            ;FR                                 ;                    ;1;      0.420;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE SAINT GILLES             ;75003;PARIS                              ;FR                                 ;                    ;1;      0.520;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE BLANGY                   ;60400;CUTS                               ;FR                                 ;                    ;1;      0.340;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE BOISSY 2              ;94470;BOISSY SAINT LEGER                 ;FR                                 ;                    ;1;      0.520;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE BRUNET                   ;91330;YERRES                             ;FR                                 ;                    ;1;      0.420;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA MAIRIE             ;91800;BRUNOY                             ;FR                                 ;                    ;1;      0.240;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE L'ECOLE               ;94600;CHOISY LE ROI                      ;FR                                 ;                    ;1;      0.300;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE FAIDHERBE                ;75011;PARIS                              ;FR                                 ;                    ;1;      0.280;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE CASTRO                   ;94220;CHARENTON LE PONT                  ;FR                                 ;                    ;1;      0.240;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU CARRE D'OR            ;28110;LUCE                               ;FR                                 ;                    ;1;      1.100;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE L'ORANGER             ;91860;EPINAY SOUS SENART                 ;FR                                 ;                    ;1;      3.760;       4.10;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE LA VALLEE             ;76600;LE HAVRE                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;SAS OMOIS MEDICAL SERVICES BASTIDE ;2400;CHATEAU THIERRY                    ;FR                                 ;                    ;1;      2.060;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU CHAMPS DE MARS        ;34501;BEZIERS CEDEX                      ;FR                                 ;                    ;1;      2.100;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DU BOUCHOT               ;88120;VAGNEY                             ;FR                                 ;                    ;1;      0.300;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE MARCEAU                  ;88000;EPINAL                             ;FR                                 ;                    ;1;      0.250;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE MANIE                    ;47000;AGEN                               ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE ST MARTIAL               ;87000;LIMOGES                            ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE MARQUIER                 ;31620;CASTELNAU D ESTRETEFONDS           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DAMELINCOURT             ;9500;MIREPOIX                           ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE DE L'ARC EN CIEL         ;31800;SAINT GAUDENS                      ;FR                                 ;                    ;1;      1.600;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
02/03/2020;H12;3,75216E+12;1;3752;FR                                 ;PHARMACIE KUENTZ                   ;90000;BELFORT                            ;FR                                 ;                    ;1;      0.350;       3.80;CSU                ;  ;20/03/01044;3752;TVA 20.0%;;;
